Код,Наименование (англ.),Наименование,Страна,Направление
7115 00 00,Other articles of precious metal or of metal clad with precious metal,"Прочие изделия из драгоценных металлов или металлов, плакированных драгоценными
                                    металлами",EU,Экспорт в РФ
7116 00 00,"Articles of natural or cultured pearls, precious or semi-precious stones (natural,
                                    synthetic or reconstructed)","Изделия из природного или культивированного жемчуга, драгоценных или полудрагоценных
                                    камней (природных, синтетических или реконструированных)",EU,Экспорт в РФ
,"(11) Coins and banknotes, not being legal tender","(11) Монеты и банкноты, не являющиеся законным платежным средством",EU,Экспорт в РФ
4907 00 30,Banknotes,Банкноты,EU,Экспорт в РФ
7118 10 00,"Coin (other than gold coin), not being legal tender","Монеты (кроме золотых), не являющиеся законным платежным средством",EU,Экспорт в РФ
7118 90 00,Other,Прочие,EU,Экспорт в РФ
,(12) Cutlery of precious metal or plated or clad with precious metal,"(12) Ножевые приборы из драгоценных металлов или покрытые или плакированные
                                    драгоценными
                                    металлами",EU,Экспорт в РФ
7114 00 00,"Articles of goldsmiths' or silversmiths' wares and parts thereof, of precious metal
                                    or
                                    of metal clad with precious metal","Ювелирные изделия или изделия из серебра и их части из драгоценных металлов или
                                    металлов, плакированных драгоценными металлами",EU,Экспорт в РФ
7115 00 00,Other articles of precious metal or of metal clad with precious metal,"Прочие изделия из драгоценных металлов или металлов, плакированных драгоценными
                                    металлами",EU,Экспорт в РФ
8214 00 00,"Other articles of cutlery (for example, hair clippers, butchers' or kitchen
                                    cleavers,
                                    choppers and mincing knives, paperknives); manicure or pedicure sets and instruments
                                    (including nail files)","Прочие ножевые изделия (например, машинки для стрижки волос, мясные или кухонные
                                    ножи,
                                    ножи для измельчения и мясорубки, ножи для разрезания бумаги); маникюрные или
                                    педикюрные
                                    наборы и инструменты (включая пилочки для ногтей)",EU,Экспорт в РФ
8215 00 00,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar
                                    tongs
                                    and similar kitchen or tableware","Ложки, вилки, половники, шумовки, лопатки для тортов, ножи для рыбы, ножи для масла,
                                    щипцы для сахара и аналогичные кухонные или столовые принадлежности",EU,Экспорт в РФ
9307 00 00,"Swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabbards
                                    and
                                    sheaths therefor","Мечи, абордажные сабли, штыки, копья и аналогичное оружие и их части, а также ножны
                                    и
                                    ножны для них",EU,Экспорт в РФ
,"(13) Tableware of porcelain, china, stone- or earthenware or fine pottery","(13) Столовая посуда из фарфора, фарфора, камня или фаянса или изысканной керамики
                                ",EU,Экспорт в РФ
6911 00 00,"Tableware, kitchenware, other household articles and toilet articles, of porcelain
                                    or
                                    china","Посуда столовая, кухонная, прочие предметы домашнего обихода и туалетные
                                    принадлежности
                                    из фарфора или фаянса",EU,Экспорт в РФ
6912 00 23,Stoneware,Керамогранит,EU,Экспорт в РФ
6912 00 25,Earthenware or fine pottery,Фаянс или тонкая керамика,EU,Экспорт в РФ
6912 00 83,Stoneware,Керамогранит,EU,Экспорт в РФ
6912 00 85,Earthenware or fine pottery,Фаянс или тонкая керамика,EU,Экспорт в РФ
6914 10 00,Of porcelain or china,Из фарфора,EU,Экспорт в РФ
6914 90 00,Other,Прочее,EU,Экспорт в РФ
,(14) Items of lead crystal,(14) Изделия из свинцового хрусталя,EU,Экспорт в РФ
7009 91 00,Unframed,Без рамки,EU,Экспорт в РФ
7009 92 00,Framed,В рамке,EU,Экспорт в РФ
7010 00 00,"Carboys, bottles, flasks, jars, pots, phials, ampoules and other containers, of
                                    glass,
                                    of a kind used for the conveyance or packing of goods; preserving jars of glass;
                                    stoppers, lids and other closures, of glass","Бутыли, фляги, банки, горшки, склянки, ампулы и прочие емкости из стекла,
                                    используемые
                                    для перевозки или упаковки товаров; стеклянные банки для косервирования; пробки,
                                    крышки
                                    и прочие укупорочные средства из стекла",EU,Экспорт в РФ
7013 22 00,Of lead crystal,Из свинцового хрусталя,EU,Экспорт в РФ
7013 33 00,Of lead crystal,Из свинцового хрусталя,EU,Экспорт в РФ
7013 41 00,Of lead crystal,Из свинцового хрусталя,EU,Экспорт в РФ
7013 91 00,Of lead crystal,Из свинцового хрусталя,EU,Экспорт в РФ
7018 10 00,"Glass beads, imitation pearls, imitation precious or semi-precious stones and
                                    similar
                                    glass smallwares","Стеклянные бусины, имитация жемчуга, имитация драгоценных или полудрагоценных камней
                                    и
                                    аналогичные мелкие изделия из стекла",EU,Экспорт в РФ
7018 90 00,Other,Прочие,EU,Экспорт в РФ
7020 00 80,Other,Прочие,EU,Экспорт в РФ
9405 50 00,Non-electrical lamps and lighting fittings,Неэлектрические лампы и осветительные приборы,EU,Экспорт в РФ
9405 91 00,Of glass,Из стекла,EU,Экспорт в РФ
,(15) Electronic items for domestic use of a value exceeding EUR 750,(15) Электронные предметы для домашнего использования стоимостью более 750 евро,EU,Экспорт в РФ
8414 51,"Table, floor, wall, window, ceiling or roof fans, with a self-contained electric
                                    motor
                                    of an output not exceeding 125 W","Настольные, напольные, настенные, оконные, потолочные или крышные вентиляторы с
                                    автономным электродвигателем мощностью не более 125 Вт.",EU,Экспорт в РФ
8414 59 00,Other,Прочие,EU,Экспорт в РФ
8414 60 00,Hoods having a maximum horizontal side not exceeding 120 cm,Вытяжки с максимальной горизонтальной стороной не более 120 см.,EU,Экспорт в РФ
8415 10 00,"Window or wall types, self-contained or ‘split-system’","Окна или стены, автономные или «сплит-системы»",EU,Экспорт в РФ
8418 10 00,"Combined refrigerator-freezers, fitted with separate external doors",Комбинированные холодильно-морозильные камеры с отдельными наружными дверями,EU,Экспорт в РФ
8418 21 00,Compression-type,Компрессионного типа,EU,Экспорт в РФ
8418 29 00,Other,Прочие,EU,Экспорт в РФ
8418 30 00,"Freezers of the chest type, not exceeding 800 litres capacity",Морозильники лари вместимостью не более 800 литров,EU,Экспорт в РФ
8418 40 00,"Freezers of the upright type, not exceeding 900 litres capacity",Морозильные камеры вертикального типа вместимостью не более 900 литров,EU,Экспорт в РФ
8419 81 00,For making hot drinks or for cooking or heating food,Для приготовления горячих напитков или для приготовления или разогрева пищи,EU,Экспорт в РФ
8422 11 00,Of the household type,Бытового типа,EU,Экспорт в РФ
8423 10 00,"Personal weighing machines, including baby scales; household scales","Персональные весы, в том числе детские; бытовые весы",EU,Экспорт в РФ
8443 12 00,"Offset printing machinery, sheet fed, office type (using sheets with one side not
                                    exceeding 22 cm and the other side not exceeding 36 cm in the unfolded state)","Офсетное печатное оборудование, листовое, офисного типа (с использованием листов, у
                                    которых одна сторона не превышает 22 см, а другая сторона не превышает 36 см в
                                    развернутом состоянии)",EU,Экспорт в РФ
8443 31 00,"Machines which perform two or more of the functions of printing, copying or
                                    facsimile
                                    transmission, capable of connecting to an automatic data-processing machine or to a
                                    network","Машины, выполняющие две или более функций печати, копирования или факсимильной
                                    передачи,
                                    способные подключаться к машине автоматической обработки данных или к сети",EU,Экспорт в РФ
8443 32 00,"Other, capable of connecting to an automatic data-processing machine or to a network
                                ","Другое, способное подключаться к автомату обработки данных или к сети",EU,Экспорт в РФ
8443 39 00,Other,Прочие,EU,Экспорт в РФ
8450 11 00,Fully-automatic machines,Полностью автоматические машины,EU,Экспорт в РФ
8450 12 00,"Other machines, with built-in centrifugal drier",Прочие машины со встроенной центробежной сушилкой,EU,Экспорт в РФ
8450 19 00,Other,Прочие,EU,Экспорт в РФ
8451 21 00,Each of a dry linen capacity not exceeding 10 kg,Для сушки белья вместимостью не более 10 кг,EU,Экспорт в РФ
8452 10 00,Sewing machines of the household type,Швейные машины бытового типа,EU,Экспорт в РФ
8470 10 00,"Electronic calculators capable of operation without an external source of electric
                                    power
                                    and pocket-size data-recording, reproducing and displaying machines with calculating
                                    functions","Электронные вычислители, способные работать без внешнего источника электроэнергии, и
                                    карманные записывающие, воспроизводящие и отображающие данные машины с
                                    вычислительными
                                    функциями",EU,Экспорт в РФ
8470 21 00,Incorporating a printing device,Включение печатающего устройства,EU,Экспорт в РФ
8470 29 00,Other,Прочие,EU,Экспорт в РФ
8470 30 00,Other calculating machines,Прочиевычислительные машины,EU,Экспорт в РФ
8471 00 00,"Automatic data-processing machines and units thereof; magnetic or optical readers,
                                    machines for transcribing data onto data media in coded form and machines for
                                    processing
                                    such data, not elsewhere specified or included","Автоматы обработки информации и их узлы; магнитные или оптические считыватели,
                                    машины
                                    для записи данных на носители данных в закодированной форме и машины для обработки
                                    таких
                                    данных, в другом месте не поименованные или не включенные",EU,Экспорт в РФ
8472 90 80,Other,Прочие,EU,Экспорт в РФ
8479 60 00,Evaporative air coolers,Испарительные воздухоохладители,EU,Экспорт в РФ
8508 11 00,"Of a power not exceeding 1 500 W and having a dust bag or other receptacle capacity
                                    not
                                    exceeding 20 l","мощностью не более 1 500 Вт и вместимостью мешка для сбора пыли или другой емкости
                                    не
                                    более 20 л.",EU,Экспорт в РФ
8508 19 00,Other,Прочие,EU,Экспорт в РФ
8508 60 00,Other vacuum cleaners,Прочие пылесосы,EU,Экспорт в РФ
8509 80 00,Other appliances,Прочая техника,EU,Экспорт в РФ
8516 31 00,Hairdryers,Фены,EU,Экспорт в РФ
8516 50 00,Microwave ovens,Микроволновые печи,EU,Экспорт в РФ
8516 60 10,Cookers (incorporating at least an oven and a hob),Плиты (включая как минимум духовку и плиту),EU,Экспорт в РФ
8516 71 00,Coffee or tea makers,Кофеварки или чайники,EU,Экспорт в РФ
8516 72 00,Toasters,Тостеры,EU,Экспорт в РФ
8516 79 00,Other,Другой,EU,Экспорт в РФ
8517 11 00,Line telephone sets with cordless handsets,Линейные телефонные аппараты с беспроводными трубками,EU,Экспорт в РФ
8517 13 00,Smartphones,Смартфоны,EU,Экспорт в РФ
8517 18 00,Other,Прочие,EU,Экспорт в РФ
8517 61 00,Base stations,Базовые станции,EU,Экспорт в РФ
8517 62 00,"Machines for the reception, conversion and transmission or regeneration of voice,
                                    images
                                    or other data, including switching and routing apparatus","Машины для приема, преобразования и передачи или регенерации голоса, изображений или
                                    других данных, включая аппаратуру коммутации и маршрутизации",EU,Экспорт в РФ
8517 69 00,Other,Другой,EU,Экспорт в РФ
8526 91 00,Radio navigational aid apparatus,Аппаратура радионавигационной помощи,EU,Экспорт в РФ
8529 10 65,"Inside aerials for radio or television broadcast receivers, including built-in types
                                ","Антенны внутренние для приемников радио- и телевещания, в том числе встроенные",EU,Экспорт в РФ
8529 10 69,Other,Прочие,EU,Экспорт в РФ
8531 10 00,Burglar or fire alarms and similar apparatus,Охранная или пожарная сигнализация и аналогичные устройства,EU,Экспорт в РФ
8543 70 10,Electrical machines with translation or dictionary functions,Электрические машины с функциями перевода или словаря,EU,Экспорт в РФ
8543 70 30,Aerial amplifiers,Антенные усилители,EU,Экспорт в РФ
8543 70 50,"Sunbeds, sunlamps and similar suntanning equipment","Лежаки, лампы для загара и аналогичное оборудование для загара",EU,Экспорт в РФ
8543 70 90,Other,Прочие,EU,Экспорт в РФ
9504 50 00,"Video game consoles and machines, other than those of subheading 9504 30","Приставки и машины для видеоигр, кроме включенных в подсубпозицию 9504 30",EU,Экспорт в РФ
9504 90 80,Other,Прочие,EU,Экспорт в РФ
9004 90 90,"Night Vision Equipment, or Thermal Sight Equipment",Приборы ночного видения или тепловизионные прицелы,EU,Экспорт в РФ
9005 10 00,Binoculars,Бинокль,EU,Экспорт в РФ
9005 80 00,Spotting Scopes,Подзорные трубы,EU,Экспорт в РФ
9013 10 90,Telescopic sights,Телескопические прицелы,EU,Экспорт в РФ
9013 10 90,Optical Weapon Sights,Оптические прицелы,EU,Экспорт в РФ
9013 10 90,Weapon Sights with Thermal Vision Enhancement,Оружейные прицелы с улучшением теплового зрения,EU,Экспорт в РФ
9013 80 90,Red Dot Sights,Прицелы с красной точкой,EU,Экспорт в РФ
9015 10 00,Range Finders,дальномеры,EU,Экспорт в РФ
,"(16) Electrical/electronic or optical apparatus for recording and reproducing sound
                                    and images of a value exceeding EUR 1 000","(16) Электрическое/электронное или оптическое оборудование для записи и
                                    воспроизведения
                                    звука и изображений стоимостью более 1 000 евро",EU,Экспорт в РФ
8519 00 00,Sound recording or sound reproducing apparatus,Звукозаписывающая или звуковоспроизводящая аппаратура,EU,Экспорт в РФ
8521 00 00,"Video recording or reproducing apparatus, whether or not incorporating a video tuner
                                ","Аппаратура видеозаписи или воспроизведения, включающая или не включающая видеотюнер
                                ",EU,Экспорт в РФ
8527 00 00,"Reception apparatus for radio-broadcasting, whether or not combined, in the same
                                    housing, with sound recording or reproducing apparatus or a clock","Приемная аппаратура для радиовещания, совмещенная или не совмещенная в одном корпусе
                                    со
                                    звукозаписывающей или звуковоспроизводящей аппаратурой или часами",EU,Экспорт в РФ
8528 71 00,Not designed to incorporate a video display or screen,Не предназначенная для включения видеодисплея или экрана,EU,Экспорт в РФ
8528 72 00,"Other, colour",Прочее,EU,Экспорт в РФ
9006 00 00,"Photographic (other than cinematographic) cameras; photographic flashlight apparatus
                                    and
                                    flashbulbs other than discharge lamps of heading 8539","Фотокамеры (кроме кинокамер); фотовспышки и лампы-вспышки, кроме газоразрядных ламп
                                    товарной позиции 8539",EU,Экспорт в РФ
9007 00 00,"Cinematographic cameras and projectors, whether or not incorporating sound recording
                                    or
                                    reproducing apparatus","Кинокамеры и кинопроекторы, включающие или не включающие звукозаписывающие или
                                    звуковоспроизводящие устройства",EU,Экспорт в РФ
,"(17) Vehicles, except ambulances, for the transport of persons on earth, air or sea
                                    of
                                    a value exceeding EUR 50 000 each, teleferics, chairlifts, ski-draglines, traction
                                    mechanisms for funiculars, motorbikes of a value exceeding EUR 5 000 each, as well
                                    as
                                    their accessories and spare parts","(17) Транспортные средства, кроме машин скорой помощи, для перевозки людей по земле,
                                    воздуху или морю стоимостью более 50 000 евро каждое, телеферики, кресельные
                                    подъемники,
                                    лыжные драглайны, тяговые механизмы для фуникулеров, мотоциклы стоимостью более 5
                                    000
                                    евро каждый , а также их аксессуары и запасные части",EU,Экспорт в РФ
4011 10 00,Of a kind used on motor cars (including station wagons and racing cars),"Любого типа, используемые для легковых автомобилях (включая универсалы и гоночные
                                    автомобили)",EU,Экспорт в РФ
4011 20 00,Of a kind used on buses or lorries,Используемые в автобусах или грузовиках,EU,Экспорт в РФ
4011 30 00,Of a kind used on aircraft,"Любого типа, используемые в самолетах",EU,Экспорт в РФ
4011 40 00,Of a kind used on motorcycles,"Любого типа, используемые на мотоциклах",EU,Экспорт в РФ
4011 90 00,Other,Прочие,EU,Экспорт в РФ
7009 10 00,Rear-view mirrors for vehicles,Зеркала заднего вида для автомобилей,EU,Экспорт в РФ
8407 00 00,Spark-ignition reciprocating or rotary internal combustion piston engines,"Поршневые или роторно-поршневые двигатели внутреннего сгорания с искровым зажиганием
                                ",EU,Экспорт в РФ
8408 00 00,"Compression-ignition internal combustion piston engines (diesel or semi-diesel
                                    engines)
                                ","Поршневые двигатели внутреннего сгорания с воспламенением от сжатия (дизельные или
                                    полудизельные двигатели)",EU,Экспорт в РФ
8409 00 00,"Parts suitable for use solely or principally with the engines of heading 8407 or
                                    8408
                                ","Детали, предназначенные исключительно или в основном для двигателей товарной позиции
                                    8407 или 8408.",EU,Экспорт в РФ
8411 00 00,"Turbojets, turbopropellers and other gas turbines","Турбореактивные, турбовинтовые и другие газовые турбины",EU,Экспорт в РФ
8428 60 00,"Teleferics, chairlifts, ski-draglines, traction mechanisms for funiculars","Телеферики, кресельные подъемники, лыжные драглайны, тяговые механизмы для
                                    фуникулеров
                                ",EU,Экспорт в РФ
8431 39 00,"Parts and acccessories of teleferics, chairlifts, ski-draglines, traction mechanisms
                                    for
                                    funiculars","Детали и принадлежности телефериков, кресельных подъемников, лыжных драглайнов,
                                    тяговых
                                    механизмов для фуникулеров",EU,Экспорт в РФ
8483 00 00,"Transmission shafts (including cam shafts and crank shafts) and cranks; bearing
                                    housings
                                    and plain shaft bearings; gears and gearing; ball or roller screws; gear boxes and
                                    other
                                    speed changers, including torque converters; flywheels and pulleys, including pulley
                                    blocks; clutches and shaft couplings (including universal joints)","Валы трансмиссии (включая кулачковые и кривошипные валы) и кривошипы; корпуса
                                    подшипников и подшипники валов скольжения; шестерни и зацепления; шариковые или
                                    роликовые винты; коробки передач и другие преобразователи скорости, в том числе
                                    гидротрансформаторы; маховики и шкивы, включая полиспасты; муфты и муфты валов
                                    (включая
                                    карданные шарниры)",EU,Экспорт в РФ
8511 00 00,"Electrical ignition or starting equipment of a kind used for spark-ignition or
                                    compression-ignition internal combustion engines (for example, ignition magnetos,
                                    magneto-dynamos, ignition coils, sparking plugs and glow plugs, starter motors);
                                    generators (for example, dynamos, alternators) and cut-outs of a kind used in
                                    conjunction with such engines","Электрозапальное или пусковое оборудование, используемое в двигателях внутреннего
                                    сгорания с искровым зажиганием или с воспламенением от сжатия (например, запальные
                                    магнето, магнито-динамо, катушки зажигания, свечи зажигания и накаливания,
                                    стартеры);
                                    генераторы (например, динамо-машины, генераторы переменного тока) и выключатели,
                                    используемые совместно с такими двигателями",EU,Экспорт в РФ
8512 20 00,Other lighting or visual signalling equipment,Прочее осветительное или визуальное сигнальное оборудование,EU,Экспорт в РФ
8512 30 10,Burglar alarms of a kind used for motor vehicles,"Охранная сигнализация, используемая для автомобилей",EU,Экспорт в РФ
8512 30 90,Other,Прочее,EU,Экспорт в РФ
8512 40 00,"Windscreen wipers, defrosters and demisters","Стеклоочистители, антиобледенители и туманоуловители",EU,Экспорт в РФ
8544 30 00,"Ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft or
                                    ships
                                ","Комплекты проводки зажигания и прочие комплекты проводки, используемые в
                                    транспортных
                                    средствах, самолетах или кораблях",EU,Экспорт в РФ
8603 00 00,"Self-propelled railway or tramway coaches, vans and trucks, other than those of
                                    heading
                                    8604","Самоходные железнодорожные или трамвайные вагоны, фургоны и грузовики, кроме
                                    входящих в
                                    товарную позицию 8604",EU,Экспорт в РФ
8605 00 00,"Railway or tramway passenger coaches, not self-propelled; luggage vans, post office
                                    coaches and other special purpose railway or tramway coaches, not self-propelled
                                    (excluding those of heading 8604 )","Вагоны пассажирские железнодорожные или трамвайные, несамоходные; багажные вагоны,
                                    почтовые вагоны и прочие специальные железнодорожные или трамвайные вагоны,
                                    несамоходные
                                    (кроме вагонов товарной позиции 8604)",EU,Экспорт в РФ
8607 00 00,Parts of railway or tramway locomotives or rolling stock,Части железнодорожных или трамвайных локомотивов или подвижного состава,EU,Экспорт в РФ
8702 00 00,"Motor vehicles for the transport of ten or more persons, including the driver","Автомобили для перевозки десяти и более человек, включая водителя",EU,Экспорт в РФ
8703 00 00,"Motor cars and other motor vehicles principally designed for the transport of
                                    persons
                                    (other than those of heading 8702 ), including station wagons and racing cars,
                                    including
                                    snowmobiles","Автомобили легковые и прочие моторные транспортные средства, предназначенные в
                                    основном
                                    для перевозки людей (кроме транспортных средств товарной позиции 8702), включая
                                    универсалы и гоночные автомобили, включая снегоходы",EU,Экспорт в РФ
8706 00 00,"Chassis fitted with engines, for the motor vehicles of headings 8701 to 8705",Шасси с двигателями для автомобилей товарных позиций 8701-8705,EU,Экспорт в РФ
8707 00 00,"Bodies (including cabs), for the motor vehicles of headings 8701 to 8705",Кузова (включая кабины) для автомобилей товарных позиций 8701-8705,EU,Экспорт в РФ
8708 00 00,Parts and accessories of the motor vehicles of headings 8701 to 8705,Части и принадлежности автомобилей товарных позиций 8701-8705,EU,Экспорт в РФ
8711 00 00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or
                                    without side-cars; side-cars","Мотоциклы (включая мопеды) и велосипеды, оснащенные вспомогательным двигателем, с
                                    коляской или без нее; коляски",EU,Экспорт в РФ
8712 00 00,"Bicycles and other cycles (including delivery tricycles), not motorised","Велосипеды и прочие велосипеды (включая трициклы для доставки), немоторизованные
                                ",EU,Экспорт в РФ
8714 00 00,Parts and accessories of vehicles of headings 8711 to 8713,Части и принадлежности транспортных средств товарных позиций 8711-8713,EU,Экспорт в РФ
8716 10 00,"Trailers and semi-trailers of the caravan type, for housing or camping",Прицепы и полуприцепы типа караван для жилья или кемпинга,EU,Экспорт в РФ
8716 40 00,Other trailers and semi-trailers,Прочие прицепы и полуприцепы,EU,Экспорт в РФ
8716 90 00,Parts,Части,EU,Экспорт в РФ
8901 10 00,"Cruise ships, excursion boats and similar vessels principally designed for the
                                    transport
                                    of persons; ferry-boats of all kinds","Круизные суда, экскурсионные катера и аналогичные суда, предназначенные главным
                                    образом
                                    для перевозки людей; паромы всех видов",EU,Экспорт в РФ
8901 90 00,"Other vessels for the transport of goods and other vessels for the transport of both
                                    persons and goods","Прочие суда для перевозки грузов и прочие суда для перевозки как людей, так и грузов
                                ",EU,Экспорт в РФ
8903 00 00,Yachts and other vessels for pleasure or sports; rowing boats and canoes,Яхты и другие суда для отдыха или спорта; гребные лодки и каноэ,EU,Экспорт в РФ
,(18) Clocks and watches and their parts,(18) Наручные часы и их части,EU,Экспорт в РФ
9101 00 00,"Wristwatches, pocket-watches and other watches, including stopwatches, with case of
                                    precious metal or of metal clad with precious metal","Часы наручные, карманные и прочие часы, включая секундомеры, с корпусом из
                                    драгоценного
                                    металла",EU,Экспорт в РФ
9102 00 00,"Wristwatches, pocket-watches and other watches, including stopwatches, other than
                                    those
                                    of heading 9101","Часы наручные, карманные и прочие часы, включая секундомеры, кроме часов товарной
                                    позиции 9101",EU,Экспорт в РФ
9103 00 00,"Clocks with watch movements, excluding clocks of heading 9104","Часы с часовым механизмом, кроме часов товарной позиции 9104",EU,Экспорт в РФ
9104 00 00,"Instrument panel clocks and clocks of a similar type for vehicles, aircraft,
                                    spacecraft
                                    or vessels","Приборные часы и часы аналогичного типа для транспортных средств, самолетов,
                                    космических
                                    кораблей или судов",EU,Экспорт в РФ
9105 00 00,Other clocks,Прочие часы,EU,Экспорт в РФ
9108 00 00,"Watch movements, complete and assembled","Механизмы часов, комплектные и собранные",EU,Экспорт в РФ
9109 00 00,"Clock movements, complete and assembled","Часовые механизмы, комплектные и собранные",EU,Экспорт в РФ
9110 00 00,"Complete watch or clock movements, unassembled or partly assembled (movement sets);
                                    incomplete watch or clock movements, assembled; rough watch or clock movements","Часы или часовые механизмы в разобранном или частично собранном виде (комплекты
                                    механизмов); неполные часы или часовые механизмы в собранном виде; грубые часы или
                                    часовой механизм",EU,Экспорт в РФ
9111 00 00,Watch cases and parts thereof,Корпуса часов и их части,EU,Экспорт в РФ
9112 00 00,"Clock cases and cases of a similar type for other goods of this chapter, and parts
                                    thereof",Корпуса часов и аналогичные корпуса для других товаров данной группы и их части,EU,Экспорт в РФ
9113 00 00,"Watch straps, watch bands and watch bracelets, and parts thereof","Ремешки для часов, ремешки для часов и браслеты для часов и их части",EU,Экспорт в РФ
9114 00 00,Other clock or watch parts,Прочие часы или детали часов,EU,Экспорт в РФ
,(19) Musical instruments of a value exceeding EUR 1 500,(19) Музыкальные инструменты стоимостью более 1 500 евро,EU,Экспорт в РФ
9201 00 00,"Pianos, including automatic pianos; harpsichords and other keyboard stringed
                                    instruments
                                ","Фортепиано, в том числе автоматические пианино; клавесины и другие клавишные
                                    струнные
                                    инструменты",EU,Экспорт в РФ
9202 00 00,"Other string musical instruments (for example, guitars, violins, harps)","Прочие струнные музыкальные инструменты (например, гитары, скрипки, арфы)",EU,Экспорт в РФ
9205 00 00,"Wind musical instruments (for example, keyboard pipe organs, accordions, clarinets,
                                    trumpets, bagpipes), other than fairground organs and mechanical street organs","Духовые музыкальные инструменты (например, клавишные органы, аккордеоны, кларнеты,
                                    трубы, волынки), кроме ярмарочных органов и механических уличных шарманок",EU,Экспорт в РФ
9206 00 00,"Percussion musical instruments (for example, drums, xylophones, cymbals, castanets,
                                    maracas)","Ударные музыкальные инструменты (например, барабаны, ксилофоны, цимбалы, кастаньеты,
                                    маракасы)",EU,Экспорт в РФ
9207 00 00,"Musical instruments, the sound of which is produced, or must be amplified,
                                    electrically
                                    (for example, organs, guitars, accordions)","Музыкальные инструменты, звук которых воспроизводится или должен быть усилен
                                    электрически (например, органы, гитары, аккордеоны)",EU,Экспорт в РФ
,"(20) Works of art, collectors' pieces and antiques","(20) Произведения искусства, предметы коллекционирования и антиквариат",EU,Экспорт в РФ
9700,"Works of art, collectors' pieces and antiques","Произведения искусства, предметы коллекционирования и антиквариат",EU,Экспорт в РФ
,"(21) Articles and equipment for sports, including skiing, golf, diving and water
                                    sports","(21) Товары и оборудование для занятий спортом, включая лыжный спорт, гольф, дайвинг
                                    и
                                    водные виды спорта",EU,Экспорт в РФ
4015 19 00,Other,Прочее,EU,Экспорт в РФ
4015 90 00,Other,Прочее,EU,Экспорт в РФ
6210 40 00,Other men's or boys' garments,Прочая мужская одежда или одежда для мальичков,EU,Экспорт в РФ
6210 50 00,Other women's or girls' garments,Прочая женская одежда или одежда для девочек,EU,Экспорт в РФ
6211 11 00,Men's or boys',Мужские или для мальчиков,EU,Экспорт в РФ
6211 12 00,Women's or girls',Женские или для девочек,EU,Экспорт в РФ
6211 20 00,Ski suits,Лыжные костюмы,EU,Экспорт в РФ
6216 00 00,"Gloves, mittens and mitts","Перчатки, варежки и митенки",EU,Экспорт в РФ
6402 12 00,"Ski-boots, cross-country ski footwear and snowboard boots","Лыжные ботинки, обувь для беговых лыж и ботинки для сноуборда",EU,Экспорт в РФ
6402 19 00,Other,Прочие,EU,Экспорт в РФ
6403 12 00,"Ski-boots, cross-country ski footwear and snowboard boots","Лыжные ботинки, обувь для беговых лыж и ботинки для сноуборда",EU,Экспорт в РФ
6403 19 00,Other,Прочие,EU,Экспорт в РФ
6404 11 00,"Sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the
                                    like
                                ","Спортивная обувь; теннисная обувь, баскетбольная обувь, спортивная обувь,
                                    тренировочная
                                    обувь и т.п.",EU,Экспорт в РФ
